,year,branch_name,hour,amount_in_gbp
109,2019.0,Falkirk branch,13.0,182477312.073
110,2017.0,East Lindsey branch,15.0,182424816.807
111,2018.0,Falkirk branch,4.0,182341237.2768
112,2014.0,East Lindsey branch,9.0,182282597.5608
113,2019.0,Falkirk branch,1.0,182224777.0098
114,2018.0,East Lindsey branch,21.0,181948630.66560003
115,2020.0,East Lindsey branch,3.0,181507821.36
116,2015.0,East Lindsey branch,4.0,181220171.157
117,2012.0,Falkirk branch,3.0,181203390.57240003
118,2016.0,Falkirk branch,17.0,181116968.4
119,2020.0,East Lindsey branch,4.0,181061332.35
120,2020.0,East Lindsey branch,13.0,180567724.77
121,2018.0,Falkirk branch,1.0,179986077.504
122,2016.0,Falkirk branch,2.0,179969715.36360002
123,2020.0,East Lindsey branch,21.0,179299608.27
124,2020.0,Falkirk branch,8.0,179115439.74
125,2018.0,East Lindsey branch,7.0,178852615.4304
126,2014.0,East Lindsey branch,17.0,178668889.74
127,2019.0,Falkirk branch,3.0,178562648.418
128,2020.0,Falkirk branch,23.0,178554995.22
129,2011.0,Falkirk branch,9.0,178344676.7076
130,2015.0,East Lindsey branch,1.0,178262297.532
131,2019.0,Falkirk branch,6.0,178068250.4034
132,2017.0,Falkirk branch,15.0,177977864.5908
133,2013.0,East Lindsey branch,14.0,177780707.83800003
134,2016.0,East Lindsey branch,23.0,177456540.066
135,2013.0,Falkirk branch,10.0,177262811.7702
136,2016.0,East Lindsey branch,4.0,177247824.9468
137,2020.0,Neath Port Talbot outlet,10.0,177129833.62
138,2014.0,Falkirk branch,17.0,177067658.3544
139,2016.0,East Lindsey branch,15.0,177052377.4236
140,2019.0,East Lindsey branch,18.0,176830817.2512
141,2018.0,Falkirk branch,17.0,175840793.51040003
142,2019.0,East Lindsey branch,21.0,175784916.9846
143,2014.0,East Lindsey branch,19.0,175768784.8752
144,2013.0,Falkirk branch,15.0,175429675.87200004
145,2016.0,Falkirk branch,22.0,174926188.2672
146,2017.0,Falkirk branch,20.0,174613887.1548
147,2012.0,Falkirk branch,12.0,174607137.5832
148,2012.0,East Lindsey branch,14.0,174552642.432
149,2019.0,East Lindsey branch,9.0,173953058.433
150,2019.0,East Lindsey branch,23.0,173343307.2546
151,2017.0,East Lindsey branch,11.0,173268633.396
152,2013.0,East Lindsey branch,6.0,173204246.22660002
153,2018.0,East Lindsey branch,11.0,173168875.92960003
154,2013.0,Falkirk branch,17.0,173076975.34260002
155,2016.0,East Lindsey branch,22.0,172680433.1508
156,2011.0,East Lindsey branch,16.0,172098822.5124
157,2020.0,Kent branch,23.0,171689938.44
158,2018.0,Falkirk branch,8.0,171681590.47680002
159,2020.0,Falkirk branch,4.0,171553429.83
160,2014.0,East Lindsey branch,16.0,171338937.924
161,2011.0,Falkirk branch,16.0,171175371.40260002
162,2017.0,Falkirk branch,13.0,171111823.3146
163,2018.0,East Lindsey branch,16.0,171076955.472
164,2018.0,Falkirk branch,15.0,170864106.39360002
165,2014.0,East Lindsey branch,20.0,170470893.1728
166,2017.0,Greater London branch,8.0,169597385.3948
167,2015.0,Falkirk branch,21.0,169580229.048
168,2012.0,Falkirk branch,8.0,169321661.6868
169,2012.0,Falkirk branch,7.0,169239577.90320003
170,2014.0,Falkirk branch,10.0,169120731.0408
171,2017.0,East Lindsey branch,10.0,169074328.16640002
172,2017.0,East Lindsey branch,7.0,168685455.3834
173,2011.0,Falkirk branch,21.0,168396681.6006
174,2013.0,East Lindsey branch,8.0,168371756.32860002
175,2015.0,Falkirk branch,4.0,168199603.92
176,2013.0,East Lindsey branch,0.0,168083797.98780003
177,2016.0,Warwickshire branch,18.0,167979264.3296
178,2016.0,Falkirk branch,21.0,167897287.518
179,2020.0,East Lindsey branch,23.0,167863412.94
180,2011.0,East Lindsey branch,21.0,167750454.8772
181,2015.0,East Lindsey branch,21.0,167721432.462
182,2018.0,Falkirk branch,0.0,167484015.04320002
183,2015.0,Falkirk branch,13.0,167381648.505
184,2017.0,Falkirk branch,5.0,167125279.1598
185,2017.0,East Lindsey branch,9.0,166843757.4882
186,2015.0,Falkirk branch,11.0,166841166.825
187,2017.0,East Lindsey branch,4.0,166727231.0274
188,2013.0,East Lindsey branch,15.0,166708732.18860003
189,2016.0,East Lindsey branch,6.0,166328012.1276
190,2019.0,Falkirk branch,0.0,166178818.7556
191,2016.0,East Lindsey branch,11.0,166122134.6472
192,2012.0,East Lindsey branch,0.0,165993831.05760002
193,2020.0,East Lindsey branch,11.0,165849609.69
194,2017.0,Falkirk branch,10.0,165622859.2716
195,2015.0,East Lindsey branch,18.0,165255016.725
196,2014.0,East Lindsey branch,10.0,165068088.0816
197,2014.0,East Lindsey branch,1.0,165021021.2904
198,2017.0,Falkirk branch,2.0,164999485.4406
199,2013.0,East Lindsey branch,20.0,164967521.35500002
200,2018.0,East Lindsey branch,23.0,164919712.6656
201,2018.0,East Lindsey branch,18.0,164841828.33600003
202,2020.0,East Lindsey branch,22.0,164733680.19
203,2017.0,East Lindsey branch,1.0,164697460.8462
204,2017.0,East Lindsey branch,3.0,164585130.7992
205,2012.0,Falkirk branch,21.0,164314606.1256
206,2011.0,Falkirk branch,18.0,164197295.895
207,2012.0,East Lindsey branch,8.0,164155693.79160002
208,2016.0,Falkirk branch,10.0,164140963.26
209,2013.0,Falkirk branch,0.0,163966554.13680002
210,2016.0,East Lindsey branch,2.0,163905390.6084
211,2011.0,East Lindsey branch,8.0,163839001.4214
212,2011.0,East Lindsey branch,11.0,163834098.9858
213,2015.0,Kent branch,8.0,163803291.12
214,2018.0,Falkirk branch,13.0,163536358.752
215,2016.0,East Lindsey branch,18.0,163007859.888
216,2018.0,East Lindsey branch,9.0,162950957.51040003
217,2012.0,Falkirk branch,19.0,162841161.1428
218,2018.0,East Lindsey branch,4.0,162660181.9104
219,2014.0,Falkirk branch,0.0,162642314.7624
220,2020.0,East Lindsey branch,9.0,162613810.47
221,2019.0,Falkirk branch,17.0,162447539.7174
222,2016.0,Falkirk branch,12.0,162234592.2612
223,2014.0,East Lindsey branch,13.0,161853976.3104
224,2016.0,Falkirk branch,4.0,161669457.1452
225,2016.0,Falkirk branch,14.0,161608424.6856
226,2017.0,Falkirk branch,19.0,161480207.0514
227,2015.0,Falkirk branch,19.0,161084758.59
228,2016.0,East Lindsey branch,20.0,160716649.6416
229,2019.0,East Lindsey branch,17.0,160566436.6068
230,2016.0,East Lindsey branch,0.0,160489600.698
231,2015.0,East Lindsey branch,6.0,160425551.376
232,2012.0,East Lindsey branch,20.0,160309560.19680002
233,2015.0,East Lindsey branch,5.0,160286009.868
234,2018.0,Falkirk branch,14.0,160114988.9952
235,2018.0,Falkirk branch,7.0,160111297.152
236,2015.0,Falkirk branch,1.0,159593982.129
237,2012.0,East Lindsey branch,16.0,159561535.46760002
238,2014.0,East Lindsey branch,0.0,159476681.1792
239,2011.0,East Lindsey branch,10.0,159377974.593
240,2020.0,Islington branch,7.0,159130918.72
241,2015.0,East Lindsey branch,23.0,159093990.621
242,2011.0,East Lindsey branch,17.0,159042539.694
243,2013.0,Falkirk branch,6.0,159036486.47160003
244,2018.0,East Lindsey branch,10.0,158930688.1536
245,2012.0,East Lindsey branch,15.0,158597736.72120002
246,2019.0,East Lindsey branch,8.0,158397569.9418
247,2020.0,West Somerset branch,14.0,158389942.78
248,2019.0,Neath Port Talbot outlet,18.0,158271069.7288
249,2013.0,Falkirk branch,4.0,158148123.25020003
250,2020.0,Falkirk branch,22.0,158120202.03
251,2018.0,East Lindsey branch,17.0,158108610.03840002
252,2019.0,East Lindsey branch,7.0,158035185.9534
253,2011.0,East Lindsey branch,7.0,157986814.1874
254,2020.0,Falkirk branch,7.0,157927491.15
255,2015.0,East Lindsey branch,20.0,157891216.194
256,2019.0,Edinburgh City branch,1.0,157840468.0776
257,2012.0,Falkirk branch,20.0,157662910.4652
258,2018.0,Warwickshire branch,4.0,157567485.504
259,2011.0,Falkirk branch,5.0,157554959.7114
260,2013.0,Falkirk branch,9.0,157547021.8212
261,2014.0,East Lindsey branch,12.0,157520590.7352
262,2019.0,Falkirk branch,23.0,157455559.2792
263,2017.0,Falkirk branch,6.0,157292716.7748
264,2011.0,East Lindsey branch,14.0,157284381.4086
265,2018.0,Warwickshire branch,22.0,157089521.4528
266,2019.0,Neath Port Talbot outlet,17.0,156680533.7076
267,2019.0,West Somerset branch,19.0,156676622.7236
268,2019.0,East Lindsey branch,14.0,156604990.4664
269,2018.0,East Lindsey branch,8.0,156532288.17600003
270,2012.0,Falkirk branch,18.0,156454488.96840003
271,2013.0,Falkirk branch,1.0,156376307.60520002
272,2017.0,Falkirk branch,0.0,156295257.5076
273,2013.0,East Lindsey branch,23.0,156272075.60520002
274,2020.0,Falkirk branch,20.0,156195236.43
275,2016.0,East Lindsey branch,3.0,155718125.946
276,2015.0,East Lindsey branch,10.0,155693763.657
277,2020.0,Neath Port Talbot outlet,11.0,155606525.16
278,2018.0,Warwickshire branch,9.0,155227234.67520002
279,2018.0,Edinburgh City branch,23.0,155100439.6608
280,2020.0,Neath Port Talbot outlet,8.0,154912980.52
281,2015.0,Falkirk branch,18.0,154798167.231
282,2012.0,Falkirk branch,4.0,154694394.8172
283,2016.0,East Lindsey branch,12.0,154665346.44
284,2011.0,East Lindsey branch,9.0,154596826.8084
285,2013.0,Falkirk branch,2.0,154595519.49420002
286,2019.0,Edinburgh City branch,15.0,154557668.6248
287,2014.0,East Lindsey branch,21.0,154477173.9456
288,2014.0,Falkirk branch,6.0,154466875.6224
289,2020.0,Falkirk branch,1.0,154427924.49
290,2011.0,East Lindsey branch,4.0,154409782.701
291,2016.0,Islington branch,22.0,154402011.9328
292,2016.0,East Lindsey branch,7.0,154283968.5084
293,2020.0,Greater London branch,20.0,153937495.72
294,2019.0,West Somerset branch,22.0,153807181.2536
295,2020.0,Kent branch,15.0,153804338.0
296,2019.0,Warwickshire branch,18.0,153736698.4972
297,2014.0,Falkirk branch,5.0,153567033.6288
298,2019.0,Neath Port Talbot outlet,13.0,153353320.5764
299,2017.0,East Lindsey branch,20.0,153192458.7708
300,2015.0,East Lindsey branch,14.0,153022978.008
301,2016.0,Falkirk branch,23.0,153019510.3332
302,2020.0,Falkirk branch,16.0,152856110.4
303,2020.0,East Lindsey branch,8.0,152252204.4
304,2013.0,Falkirk branch,14.0,152213202.8352
305,2020.0,Greater London branch,11.0,152036701.0
306,2016.0,Neath Port Talbot outlet,5.0,151846042.3568
307,2016.0,Falkirk branch,11.0,151833090.6336
308,2013.0,East Lindsey branch,1.0,151791831.71400002
309,2019.0,Edinburgh City branch,14.0,151590661.0596
310,2017.0,Edinburgh City branch,21.0,151500181.7152
311,2020.0,Warwickshire branch,13.0,151389689.4
312,2016.0,Falkirk branch,9.0,151294603.8696
313,2017.0,East Lindsey branch,13.0,151248573.8046
314,2014.0,Falkirk branch,11.0,151150963.0224
315,2019.0,Falkirk branch,2.0,150860232.2598
316,2012.0,East Lindsey branch,21.0,150400184.35680002
317,2011.0,Falkirk branch,15.0,150269124.477
318,2019.0,Falkirk branch,11.0,150232822.4712
319,2014.0,East Lindsey branch,15.0,150119254.428
320,2020.0,Falkirk branch,15.0,149474634.66
321,2020.0,Warwickshire branch,20.0,149452965.08
322,2016.0,East Lindsey branch,17.0,149270235.198
323,2013.0,East Lindsey branch,12.0,149192588.65500003
324,2017.0,East Lindsey branch,2.0,149082826.0716
325,2017.0,Greater London branch,23.0,149063928.9696
326,2020.0,East Lindsey branch,16.0,148921621.26
327,2020.0,Islington branch,21.0,148815959.38
328,2019.0,East Lindsey branch,3.0,148803875.4552
329,2019.0,West Somerset branch,18.0,148686840.7192
330,2019.0,Warwickshire branch,22.0,148645951.2188
331,2013.0,East Lindsey branch,9.0,148331822.50680003
332,2018.0,Kent branch,15.0,148247689.72800002
333,2017.0,Falkirk branch,8.0,148116677.8566
334,2016.0,Falkirk branch,5.0,148090157.7576
335,2011.0,East Lindsey branch,12.0,148073069.685
336,2019.0,East Lindsey branch,22.0,147785809.6974
337,2020.0,Falkirk branch,13.0,147595986.33
338,2016.0,Falkirk branch,6.0,147523680.8676
339,2019.0,Falkirk branch,15.0,147478128.7602
340,2011.0,Falkirk branch,3.0,147425908.7766
341,2017.0,Falkirk branch,4.0,147299387.205
342,2014.0,West Somerset branch,11.0,147210366.0368
343,2011.0,East Lindsey branch,13.0,147185745.7416
344,2019.0,Neath Port Talbot outlet,22.0,147164716.5576
345,2016.0,West Somerset branch,21.0,147036564.8888
346,2018.0,Greater London branch,16.0,146973373.45920002
347,2017.0,Falkirk branch,1.0,146917325.3424
348,2012.0,Falkirk branch,23.0,146833782.98400003
349,2016.0,Falkirk branch,15.0,146825833.3872
350,2012.0,East Lindsey branch,1.0,146775168.94320002
351,2019.0,Falkirk branch,14.0,146696140.0632
352,2018.0,Kent branch,5.0,146674538.28480002
353,2017.0,Islington branch,10.0,146582462.0736
354,2016.0,Wrexham store,2.0,146534038.9008
355,2020.0,Edinburgh City branch,8.0,146484452.54
356,2017.0,Falkirk branch,16.0,146109204.513
357,2015.0,Warwickshire branch,3.0,145962879.57
358,2020.0,Islington branch,13.0,145588718.68
359,2018.0,Neath Port Talbot outlet,11.0,145569292.4736
360,2016.0,Falkirk branch,0.0,145547857.5048
361,2020.0,Falkirk branch,19.0,145518353.91
362,2013.0,Wrexham store,1.0,145436096.9848
363,2020.0,Greater London branch,23.0,145406815.62
364,2013.0,Islington branch,22.0,145365855.814
365,2016.0,Falkirk branch,20.0,145358780.2824
366,2018.0,West Somerset branch,19.0,145282801.47840002
367,2016.0,Islington branch,0.0,145209516.3912
368,2020.0,West Somerset branch,10.0,145142462.8
369,2016.0,Falkirk branch,7.0,145123427.7408
370,2019.0,West Somerset branch,14.0,145089207.9168
371,2020.0,Falkirk branch,10.0,145045080.84
372,2014.0,Falkirk branch,7.0,145027681.1808
373,2020.0,Kent branch,9.0,144926302.82
374,2015.0,Falkirk branch,22.0,144891891.963
375,2012.0,East Lindsey branch,19.0,144880842.43080002
376,2020.0,East Lindsey branch,5.0,144839264.76
377,2013.0,Falkirk branch,11.0,144792552.24240002
378,2013.0,Falkirk branch,22.0,144773045.73960003
379,2016.0,Falkirk branch,13.0,144663447.7968
380,2012.0,East Lindsey branch,2.0,144638557.4844
381,2018.0,Falkirk branch,19.0,144538364.47680002
382,2020.0,Neath Port Talbot outlet,16.0,144364446.92
383,2015.0,Falkirk branch,0.0,144296959.302
384,2018.0,Kent branch,2.0,144289041.56160003
385,2017.0,Neath Port Talbot outlet,6.0,144288900.8016
386,2018.0,Wrexham store,5.0,144217237.70880002
387,2017.0,West Somerset branch,7.0,144186118.438
388,2015.0,Falkirk branch,5.0,144167737.707
389,2018.0,West Somerset branch,17.0,144014332.76160002
390,2020.0,Greater London branch,4.0,143978079.18
391,2019.0,Wrexham store,23.0,143873455.9612
392,2019.0,Greater London branch,15.0,143704819.3644
393,2019.0,Warwickshire branch,15.0,143691581.0344
394,2013.0,Neath Port Talbot outlet,18.0,143607717.97880003
395,2020.0,Falkirk branch,11.0,143503384.53
396,2018.0,East Lindsey branch,15.0,143345602.7136
397,2013.0,Falkirk branch,8.0,143308618.62180004
398,2016.0,Falkirk branch,19.0,143245134.8016
399,2014.0,Falkirk branch,13.0,143101430.1816
400,2019.0,Falkirk branch,4.0,142969521.5718
401,2016.0,Greater London branch,2.0,142947932.0584
402,2011.0,Falkirk branch,10.0,142943824.0284
403,2019.0,Neath Port Talbot outlet,16.0,142740958.3768
404,2016.0,Falkirk branch,8.0,142607817.2676
405,2019.0,Kent branch,17.0,142476721.212
406,2016.0,Greater London branch,4.0,142355881.2568
407,2017.0,Kent branch,6.0,142232686.6532
408,2019.0,Falkirk branch,21.0,142138959.2532
409,2018.0,East Lindsey branch,6.0,142104065.472
410,2017.0,Falkirk branch,7.0,142098913.251
411,2014.0,Falkirk branch,3.0,142000362.7944
412,2020.0,Edinburgh City branch,10.0,141795738.62
413,2015.0,Falkirk branch,9.0,141789575.169
414,2011.0,Falkirk branch,1.0,141730716.7746
415,2020.0,Kent branch,12.0,141726681.7
416,2018.0,West Somerset branch,2.0,141712162.80960003
417,2017.0,Falkirk branch,22.0,141652762.7994
418,2020.0,Kent branch,6.0,141567805.02
419,2019.0,Warwickshire branch,12.0,141362351.8636
420,2020.0,Kent branch,18.0,141356708.6
421,2020.0,West Somerset branch,9.0,141344291.42
422,2016.0,Falkirk branch,3.0,141197478.354
423,2016.0,Islington branch,1.0,141098118.2344
424,2013.0,East Lindsey branch,16.0,141092660.02740002
425,2012.0,East Lindsey branch,11.0,141004205.0676
426,2016.0,Edinburgh City branch,6.0,140908464.4296
427,2015.0,Kent branch,4.0,140815949.4
428,2018.0,Falkirk branch,10.0,140684492.88000003
429,2017.0,Warwickshire branch,22.0,140659011.1084
430,2015.0,Falkirk branch,15.0,140594500.062
431,2019.0,Neath Port Talbot outlet,15.0,140488360.8156
432,2019.0,Wrexham store,2.0,140474492.13
433,2017.0,Warwickshire branch,7.0,140435085.474
434,2019.0,Islington branch,18.0,140416310.5296
435,2014.0,Neath Port Talbot outlet,16.0,140353079.2224
436,2020.0,Kent branch,2.0,140257491.68
437,2018.0,Warwickshire branch,6.0,140065303.16160002
438,2020.0,Islington branch,22.0,139736066.24
439,2011.0,Warwickshire branch,9.0,139621605.7872
440,2019.0,Kent branch,7.0,139562176.3984
441,2020.0,Wrexham store,8.0,139550730.76
442,2012.0,East Lindsey branch,12.0,139446042.2208
443,2015.0,West Somerset branch,3.0,139334177.988
444,2018.0,Warwickshire branch,13.0,139214048.6784
445,2012.0,Kent branch,17.0,139203033.22800002
446,2018.0,Falkirk branch,6.0,139157307.4176
447,2019.0,Falkirk branch,12.0,139109883.927
448,2013.0,Falkirk branch,18.0,139105490.26020002
449,2020.0,West Somerset branch,6.0,138874850.3
450,2015.0,Edinburgh City branch,7.0,138681494.334
451,2019.0,Edinburgh City branch,0.0,138665234.9852
452,2018.0,West Somerset branch,21.0,138604005.7344
453,2016.0,Wrexham store,1.0,138541710.4808
454,2019.0,West Somerset branch,15.0,138404259.966
455,2017.0,Edinburgh City branch,7.0,138351411.538
456,2012.0,Falkirk branch,6.0,138295593.4248
457,2014.0,Falkirk branch,23.0,138280742.556
458,2014.0,Falkirk branch,2.0,138279772.1976
459,2015.0,East Lindsey branch,13.0,138275392.005
460,2019.0,Neath Port Talbot outlet,8.0,138266619.9068
461,2020.0,West Somerset branch,13.0,138238818.08
462,2014.0,Wrexham store,20.0,138130609.672
463,2015.0,Greater London branch,5.0,138114439.56
464,2017.0,Falkirk branch,21.0,138094392.555
465,2015.0,East Lindsey branch,8.0,138031981.308
466,2019.0,Islington branch,2.0,137979703.5624
467,2019.0,Greater London branch,12.0,137914985.0876
468,2019.0,Kent branch,10.0,137873928.8892
469,2019.0,Edinburgh City branch,6.0,137841465.5464
470,2017.0,Wrexham store,12.0,137666755.206
471,2020.0,Greater London branch,7.0,137629453.48
472,2018.0,Warwickshire branch,20.0,137573967.9936
473,2015.0,Neath Port Talbot outlet,17.0,137421598.032
474,2018.0,Neath Port Talbot outlet,15.0,137396731.81440002
475,2017.0,Kent branch,13.0,137349422.204
476,2015.0,Falkirk branch,2.0,137294525.124
477,2020.0,Warwickshire branch,7.0,137259257.52
478,2020.0,Edinburgh City branch,12.0,137078829.62
479,2011.0,East Lindsey branch,20.0,137066058.87060001
480,2020.0,West Somerset branch,18.0,137041642.14
481,2014.0,Islington branch,10.0,136987949.1024
482,2015.0,Warwickshire branch,21.0,136967872.716
483,2019.0,Neath Port Talbot outlet,20.0,136955575.7892
484,2020.0,Edinburgh City branch,14.0,136883479.3
485,2011.0,East Lindsey branch,15.0,136854889.8384
486,2012.0,Falkirk branch,22.0,136828163.80800003
487,2020.0,Neath Port Talbot outlet,3.0,136789639.7
488,2016.0,Neath Port Talbot outlet,17.0,136663865.4344
489,2017.0,Kent branch,5.0,136597715.8036
490,2016.0,West Somerset branch,6.0,136596351.9336
491,2018.0,Edinburgh City branch,5.0,136437567.7824
492,2013.0,East Lindsey branch,21.0,136119276.20040002
493,2020.0,Wrexham store,0.0,136111346.18
494,2015.0,West Somerset branch,18.0,135992589.696
495,2019.0,Wrexham store,14.0,135972896.0576
496,2016.0,West Somerset branch,10.0,135937068.8752
497,2014.0,West Somerset branch,1.0,135884365.1088
498,2016.0,Wrexham store,22.0,135808046.4376
499,2013.0,Greater London branch,11.0,135720982.1644
500,2012.0,Falkirk branch,17.0,135701469.918
501,2013.0,Falkirk branch,7.0,135696909.483
502,2016.0,West Somerset branch,18.0,135670299.916
503,2014.0,Warwickshire branch,15.0,135634682.0928
504,2013.0,East Lindsey branch,7.0,135594508.66380003
505,2014.0,Edinburgh City branch,22.0,135451157.7232
506,2017.0,Edinburgh City branch,18.0,135407955.8672
507,2019.0,Greater London branch,16.0,135207076.3904
508,2014.0,Neath Port Talbot outlet,3.0,135165839.0016
509,2019.0,Greater London branch,4.0,134965747.0
510,2019.0,Greater London branch,3.0,134873911.7684
511,2016.0,Edinburgh City branch,23.0,134857150.8688
512,2017.0,Greater London branch,6.0,134785549.71920002
513,2011.0,Falkirk branch,0.0,134377949.073
514,2016.0,Neath Port Talbot outlet,8.0,134295063.3632
515,2020.0,Islington branch,20.0,134285288.8
516,2019.0,Warwickshire branch,17.0,134160602.0692
517,2012.0,Falkirk branch,14.0,134144937.53640002
518,2018.0,Wrexham store,21.0,134137348.05120002
519,2017.0,Islington branch,4.0,134021303.1736
520,2017.0,East Lindsey branch,12.0,133776338.055
521,2013.0,Falkirk branch,13.0,133723048.72320002
522,2013.0,Falkirk branch,16.0,133705875.95940003
523,2015.0,Neath Port Talbot outlet,1.0,133695783.972
524,2017.0,Wrexham store,7.0,133691538.446
525,2013.0,Greater London branch,23.0,133655861.48120002
526,2018.0,Greater London branch,17.0,133628933.70240001
527,2014.0,West Somerset branch,15.0,133575972.5872
528,2017.0,Greater London branch,12.0,133467874.6768
529,2017.0,Falkirk branch,3.0,133443783.0126
